Date	Station_Volumn
2019-01-18	8947 
2019-01-19	10873 
2019-01-20	8579 
2019-01-21	5430 
2019-01-22	7070 
2019-01-23	7957 
2019-01-24	8859 
2019-01-25	8918 
2019-01-26	8327 
2019-01-27	8707 
2019-01-28	7289 
2019-01-29	9413 
2019-01-30	9167 
2019-01-31	8308 
2019-02-01	6065 
2019-02-02	7985 
2019-02-03	9102 
2019-02-04	1695 
2019-02-05	16689 
2019-02-06	20530 
2019-02-07	28979 
2019-02-08	19243 
2019-02-09	13037 
2019-02-10	10618 
2019-02-11	5336 
2019-02-12	8463 
2019-02-13	8223 
2019-02-14	8007 
2019-02-15	8823 
2019-02-16	11539 
2019-02-17	10656 
2019-02-18	6155 
2019-02-19	9573 
2019-02-20	8090 
2019-02-21	7586 
2019-02-22	6006 
2019-02-23	8291 
2019-02-24	4699 
2019-02-25	5796 
2019-02-26	7308 
2019-02-27	7762 
2019-02-28	16286 
2019-03-01	24455 
2019-03-02	22805 
2019-03-03	6697 
2019-03-04	6728 
2019-03-05	7537 
2019-03-06	5888 
2019-03-07	5208 
2019-03-08	5760 
2019-03-09	5144 
2019-03-10	6022 
2019-03-11	6182 
2019-03-12	8768 
2019-03-13	8251 
2019-03-14	7103 
2019-03-15	8105 
2019-03-16	11332 
2019-03-17	12252 
2019-03-18	6490 
2019-03-19	8132 
2019-03-20	8256 
2019-03-21	7985 
2019-03-22	7664 
2019-03-23	10059 
2019-03-24	8503 
2019-03-25	5166 
2019-03-26	8058 
2019-03-27	8370 
2019-03-28	8312 
2019-03-29	7607 
2019-03-30	15578 
2019-03-31	14045 
2019-04-01	5811 
2019-04-02	7445 
2019-04-03	7020 
2019-04-04	21140 
2019-04-05	18546 
2019-04-06	20609 
2019-04-07	12996 
2019-04-08	6489 
2019-04-09	6890 
2019-04-10	6694 
2019-04-11	6553 
2019-04-12	7600 
2019-04-13	9433 
2019-04-14	10229 
2019-04-15	6571 
2019-04-16	6010 
2019-04-17	8829 
2019-04-18	7655 
2019-04-19	8417 
2019-04-20	10145 
2019-04-21	9231 
2019-04-22	6515 
2019-04-23	8397 
2019-04-24	7814 
2019-04-25	7590 
2019-04-26	8031 
2019-04-27	10292 
2019-04-28	10712 
2019-04-29	7328 
2019-04-30	8728 
2019-05-01	5676 
2019-05-02	7154 
2019-05-03	10242 
2019-05-04	11594 
2019-05-05	11091 
2019-05-06	5840 
2019-05-07	5983 
2019-05-08	6231 
2019-05-09	6050 
2019-05-10	7035 
2019-05-11	9275 
2019-05-12	9005 
2019-05-13	6369 
2019-05-14	7238 
2019-05-15	6999 
2019-05-16	6803 
2019-05-17	5235 
2019-05-18	9029 
2019-05-19	9478 
2019-05-20	4725 
2019-05-21	6868 
2019-05-22	6768 
2019-05-23	6163 
2019-05-24	8153 
2019-05-25	8856 
2019-05-26	8593 
2019-05-27	5850 
2019-05-28	4737 
2019-05-29	6242 
2019-05-30	6663 
2019-05-31	7978 
2019-06-01	6860 
2019-06-02	6985 
2019-06-03	5865 
2019-06-04	5784 
2019-06-05	7725 
2019-06-06	7183 
2019-06-07	8307 
2019-06-08	11568 
2019-06-09	9714 
2019-06-10	5997 
2019-06-11	5457 
2019-06-12	6448 
2019-06-13	6017 
2019-06-14	6470 
2019-06-15	11134 
2019-06-16	10752 
2019-06-17	6377 
2019-06-18	7552 
2019-06-19	5947 
2019-06-20	5773 
2019-06-21	6096 
2019-06-22	5615 
2019-06-23	3663 
2019-06-24	4182 
2019-06-25	5669 
2019-06-26	5676 
2019-06-27	5649 
2019-06-28	5726 
2019-06-29	9320 
2019-06-30	8442 
2019-07-01	5997 
2019-07-02	6464 
2019-07-03	5763 
2019-07-04	6799 
2019-07-05	7397 
2019-07-06	9915 
2019-07-07	9173 
2019-07-08	5713 
2019-07-09	8218 
2019-07-10	8381 
2019-07-11	7165 
2019-07-12	7441 
2019-07-13	11751 
2019-07-14	10665 
2019-07-15	6866 
2019-07-16	8826 
2019-07-17	7731 
2019-07-18	5834 
2019-07-19	7237 
2019-07-20	10139 
2019-07-21	9156 
2019-07-22	6025 
2019-07-23	7788 
2019-07-24	7930 
2019-07-25	8420 
2019-07-26	8316 
2019-07-27	10862 
2019-07-28	10818 
2019-07-29	7171 
2019-07-30	8953 
2019-07-31	7958 
2019-08-01	7772 
2019-08-02	7995 
2019-08-03	10654 
2019-08-04	9389 
2019-08-05	6417 
2019-08-06	8541 
2019-08-07	7110 
2019-08-08	4693 
2019-08-09	896 
2019-08-10	10131 
2019-08-11	10017 
2019-08-12	6321 
2019-08-13	9186 
2019-08-14	7991 
2019-08-15	7330 
2019-08-16	8313 
2019-08-17	11793 
2019-08-18	10572 
2019-08-19	6156 
2019-08-20	8542 
2019-08-21	7725 
2019-08-22	8351 
2019-08-23	8329 
2019-08-24	6055 
2019-08-25	9746 
2019-08-26	7054 
2019-08-27	9448 
2019-08-28	8258 
2019-08-29	6585 
2019-08-30	5323 
2019-08-31	9187 
2019-09-01	8089 
2019-09-02	5639 
2019-09-03	6598 
2019-09-04	5537 
2019-09-05	5106 
2019-09-06	6699 
2019-09-07	9082 
2019-09-08	8755 
2019-09-09	5793 
2019-09-10	6581 
2019-09-11	6456 
2019-09-12	6493 
2019-09-13	8578 
2019-09-14	11333 
