oid,town_na,road_na,site,x,y,CDate,lon,lat
82,新莊區,思源路,人行道,296420.668971,2771608.001016,2013-09-03 16:06:32.65,121.4600742,25.05192672
83,新莊區,思源路,人行道,296420.776709,2771602.961283,2013-09-03 16:06:32.65,121.4600751,25.05188122
84,新莊區,思源路,人行道,296420.819682,2771597.146206,2013-09-03 16:06:32.65,121.4600753,25.05182872
85,新莊區,思源路,人行道,296421.142893,2771590.361799,2013-09-03 16:06:32.65,121.4600783,25.05176746
86,新莊區,思源路,中央分隔島,296393.036538,2771574.144347,2013-09-03 16:06:32.65,121.4597992,25.05162191
87,新莊區,思源路,中央分隔島,296392.907314,2771569.750733,2013-09-03 16:06:32.65,121.4597977,25.05158225
88,新莊區,思源路,中央分隔島,296390.373797,2771560.006764,2013-09-03 16:06:32.65,121.4597723,25.05149436
89,新莊區,思源路,中央分隔島,296390.278952,2771549.634471,2013-09-03 16:06:32.65,121.459771,25.05140072
90,新莊區,思源路,中央分隔島,296390.399884,2771555.398586,2013-09-03 16:06:32.65,121.4597724,25.05145276
91,新莊區,思源路,中央分隔島,296390.072679,2771575.272983,2013-09-03 16:06:32.65,121.4597698,25.05163219
92,板橋區,文化路,人行道,296996.771872,2767995.061595,2013-09-03 16:06:32.65,121.4656606,25.01929117
93,新莊區,思源路,中央分隔島,296390.581283,2771571.30142,2013-09-03 16:06:32.65,121.4597747,25.05159632
94,新莊區,思源路,中央分隔島,296392.907314,2771564.624447,2013-09-03 16:06:32.65,121.4597976,25.05153597
95,新莊區,思源路,中央分隔島,296390.486438,2771566.201221,2013-09-03 16:06:32.65,121.4597736,25.05155028
96,新莊區,思源路,中央分隔島,296392.77809,2771557.584676,2013-09-03 16:06:32.65,121.459796,25.05147242
97,新莊區,思源路,中央分隔島,296392.812469,2771546.988314,2013-09-03 16:06:32.65,121.459796,25.05137675
98,新莊區,思源路,中央分隔島,296390.312118,2771543.827686,2013-09-03 16:06:32.65,121.4597711,25.0513483
99,新莊區,思源路,中央分隔島,296392.865856,2771541.415101,2013-09-03 16:06:32.65,121.4597964,25.05132644
100,新莊區,思源路,中央分隔島,296392.683245,2771552.399135,2013-09-03 16:06:32.65,121.4597949,25.05142561
101,新莊區,思源路,人行道,296380.555203,2771548.137171,2013-09-03 16:06:32.65,121.4596746,25.0513875
102,新莊區,思源路,人行道,296380.399892,2771561.92854,2013-09-03 16:06:32.65,121.4596735,25.05151202
103,板橋區,文化路,人行道,297003.497905,2768003.325008,2013-09-03 16:06:32.65,121.4657275,25.01936556
104,新莊區,思源路,人行道,296380.097561,2771582.319833,2013-09-03 16:06:32.65,121.4596712,25.05169612
105,新莊區,思源路,人行道,296380.356009,2771576.246309,2013-09-03 16:06:32.65,121.4596736,25.05164128
106,新莊區,思源路,人行道,296421.72425,2771558.12058,2013-09-03 16:06:32.65,121.4600829,25.05147637
107,新莊區,思源路,人行道,296421.595026,2771552.434727,2013-09-03 16:06:32.65,121.4600815,25.05142504
108,新莊區,思源路,人行道,296421.336578,2771546.231978,2013-09-03 16:06:32.65,121.4600787,25.05136905
109,新莊區,思源路,人行道,296421.72425,2771540.546125,2013-09-03 16:06:32.65,121.4600823,25.05131771
110,新莊區,思源路,人行道,296421.595026,2771534.472601,2013-09-03 16:06:32.65,121.4600809,25.05126288
111,新莊區,思源路,人行道,296421.982698,2771528.140628,2013-09-03 16:06:32.65,121.4600845,25.0512057
112,新莊區,思源路,人行道,296421.77856,2771522.136097,2013-09-03 16:06:32.65,121.4600823,25.0511515
113,新莊區,思源路,人行道,296421.77856,2771516.098442,2013-09-03 16:06:32.65,121.4600821,25.05109699
114,板橋區,中山路,中央分隔島,298513.690042,2768034.953926,2013-09-03 16:06:32.65,121.4806918,25.01960348
115,板橋區,文化路,人行道,297006.764836,2768007.360628,2013-09-03 16:06:32.65,121.46576,25.01940189
